doctor_id,user_id,rating,bedside_manner,explanation,wait_time,revisit_intention,content
46,97,4,5,5,4,False,정말 친절하고 설명도 자세해서 좋았습니다.
13,177,5,4,5,3,True,다시 방문하고 싶은 병원입니다.
32,135,5,4,3,5,False,기대 이상으로 만족했습니다.
9,4,5,4,5,4,True,친절한 응대와 정확한 진단이 인상적이었습니다.
37,134,5,4,4,2,False,친절한 응대와 정확한 진단이 인상적이었습니다.
40,186,5,3,4,5,False,정말 친절하고 설명도 자세해서 좋았습니다.
28,120,4,4,4,3,False,설명이 명확해서 신뢰가 갔습니다.
23,129,4,5,3,3,True,설명이 명확해서 신뢰가 갔습니다.
49,48,4,4,5,5,True,대기 시간이 조금 있었지만 만족합니다.
42,50,3,4,3,4,False,정말 친절하고 설명도 자세해서 좋았습니다.
9,108,3,5,3,2,False,상담이 자세해서 도움이 많이 됐어요.
41,89,3,4,4,5,False,친절한 응대와 정확한 진단이 인상적이었습니다.
7,139,3,3,3,4,False,상담이 자세해서 도움이 많이 됐어요.
24,181,5,3,3,2,False,다시 방문하고 싶은 병원입니다.
42,174,5,5,3,5,False,대기 시간이 조금 있었지만 만족합니다.
45,98,3,5,4,3,False,전반적으로 만족스러운 진료였습니다.
41,121,4,4,4,2,False,정말 친절하고 설명도 자세해서 좋았습니다.
10,184,4,5,3,2,False,설명이 명확해서 신뢰가 갔습니다.
43,72,5,4,4,5,True,대기 시간이 조금 있었지만 만족합니다.
45,77,3,5,4,5,True,기대 이상으로 만족했습니다.
15,88,3,5,3,4,True,진료가 꼼꼼하고 이해하기 쉬웠어요.
46,19,3,3,3,3,False,친절한 응대와 정확한 진단이 인상적이었습니다.
4,13,5,5,5,5,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
3,7,4,3,5,4,False,전반적으로 만족스러운 진료였습니다.
16,113,5,3,5,2,False,조금 바빴지만 진료는 괜찮았습니다.
27,113,4,5,4,2,True,기대 이상으로 만족했습니다.
21,180,5,3,4,4,True,기대 이상으로 만족했습니다.
39,89,5,5,3,4,False,전반적으로 만족스러운 진료였습니다.
24,6,3,3,5,4,True,정말 친절하고 설명도 자세해서 좋았습니다.
48,168,3,3,5,5,True,친절한 응대와 정확한 진단이 인상적이었습니다.
30,23,5,4,4,5,True,조금 바빴지만 진료는 괜찮았습니다.
13,107,4,3,3,4,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
9,45,5,3,3,4,True,전반적으로 만족스러운 진료였습니다.
2,160,4,5,3,3,False,설명이 명확해서 신뢰가 갔습니다.
29,105,3,5,4,5,False,대기 시간이 조금 있었지만 만족합니다.
43,143,3,5,4,2,False,조금 바빴지만 진료는 괜찮았습니다.
7,72,3,5,4,5,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
32,1,4,5,4,3,True,설명이 명확해서 신뢰가 갔습니다.
48,129,3,4,4,2,False,상담이 자세해서 도움이 많이 됐어요.
49,31,5,4,4,3,False,전반적으로 만족스러운 진료였습니다.
45,75,5,5,5,4,False,다시 방문하고 싶은 병원입니다.
6,125,3,3,5,3,False,설명이 명확해서 신뢰가 갔습니다.
4,107,3,3,5,4,False,설명이 명확해서 신뢰가 갔습니다.
43,150,4,4,5,3,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
23,66,4,5,5,4,False,설명이 명확해서 신뢰가 갔습니다.
32,177,3,3,3,2,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
3,188,4,4,3,5,False,설명이 명확해서 신뢰가 갔습니다.
22,55,4,4,4,3,False,대기 시간이 조금 있었지만 만족합니다.
38,67,3,5,3,3,True,정말 친절하고 설명도 자세해서 좋았습니다.
12,7,5,4,3,4,False,전반적으로 만족스러운 진료였습니다.
13,52,3,3,4,3,False,친절한 응대와 정확한 진단이 인상적이었습니다.
33,77,4,4,4,3,False,정말 친절하고 설명도 자세해서 좋았습니다.
7,149,4,3,3,2,True,대기 시간이 조금 있었지만 만족합니다.
18,176,3,3,4,2,False,설명이 명확해서 신뢰가 갔습니다.
17,16,4,4,5,4,True,설명이 명확해서 신뢰가 갔습니다.
16,172,3,4,5,3,False,다시 방문하고 싶은 병원입니다.
27,93,3,4,4,3,True,기대 이상으로 만족했습니다.
36,151,3,5,5,2,True,다시 방문하고 싶은 병원입니다.
37,130,3,5,4,4,True,조금 바빴지만 진료는 괜찮았습니다.
50,174,5,5,5,4,True,진료가 꼼꼼하고 이해하기 쉬웠어요.
41,89,4,3,4,2,False,대기 시간이 조금 있었지만 만족합니다.
36,137,5,3,4,2,False,설명이 명확해서 신뢰가 갔습니다.
42,199,4,3,4,5,False,조금 바빴지만 진료는 괜찮았습니다.
25,4,5,3,3,5,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
42,84,3,4,5,2,True,기대 이상으로 만족했습니다.
50,83,3,4,5,4,False,기대 이상으로 만족했습니다.
30,126,3,4,4,4,False,기대 이상으로 만족했습니다.
22,91,3,3,5,5,True,정말 친절하고 설명도 자세해서 좋았습니다.
49,80,5,4,3,5,False,상담이 자세해서 도움이 많이 됐어요.
20,198,3,3,3,4,False,설명이 명확해서 신뢰가 갔습니다.
47,17,3,3,3,2,True,다시 방문하고 싶은 병원입니다.
49,42,4,3,3,3,True,다시 방문하고 싶은 병원입니다.
24,164,5,4,3,2,True,기대 이상으로 만족했습니다.
24,19,4,3,5,3,False,상담이 자세해서 도움이 많이 됐어요.
15,195,5,4,3,4,True,다시 방문하고 싶은 병원입니다.
20,14,3,5,3,4,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
19,21,4,3,3,2,False,정말 친절하고 설명도 자세해서 좋았습니다.
6,36,4,4,5,3,True,조금 바빴지만 진료는 괜찮았습니다.
18,89,4,5,5,5,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
16,101,4,3,4,4,True,정말 친절하고 설명도 자세해서 좋았습니다.
44,198,4,5,4,4,True,정말 친절하고 설명도 자세해서 좋았습니다.
30,72,5,3,3,5,True,전반적으로 만족스러운 진료였습니다.
9,135,5,3,3,2,False,조금 바빴지만 진료는 괜찮았습니다.
30,12,3,4,5,2,True,대기 시간이 조금 있었지만 만족합니다.
4,4,5,4,4,5,True,상담이 자세해서 도움이 많이 됐어요.
6,160,4,3,4,2,False,조금 바빴지만 진료는 괜찮았습니다.
33,98,4,3,3,3,True,다시 방문하고 싶은 병원입니다.
17,50,5,5,4,4,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
20,173,3,4,4,4,True,정말 친절하고 설명도 자세해서 좋았습니다.
36,176,3,5,5,5,True,친절한 응대와 정확한 진단이 인상적이었습니다.
3,112,3,4,3,5,True,대기 시간이 조금 있었지만 만족합니다.
24,36,4,5,5,3,False,기대 이상으로 만족했습니다.
42,89,5,5,3,5,True,설명이 명확해서 신뢰가 갔습니다.
26,100,5,4,5,4,True,조금 바빴지만 진료는 괜찮았습니다.
28,52,3,4,3,3,False,정말 친절하고 설명도 자세해서 좋았습니다.
25,184,5,4,3,2,True,친절한 응대와 정확한 진단이 인상적이었습니다.
36,142,5,4,5,4,False,정말 친절하고 설명도 자세해서 좋았습니다.
49,120,4,3,5,3,False,전반적으로 만족스러운 진료였습니다.
45,47,5,4,3,4,True,조금 바빴지만 진료는 괜찮았습니다.
13,114,5,4,3,4,True,전반적으로 만족스러운 진료였습니다.
44,14,4,4,4,3,True,다시 방문하고 싶은 병원입니다.
39,196,5,4,3,2,False,설명이 명확해서 신뢰가 갔습니다.
50,151,3,5,4,3,True,정말 친절하고 설명도 자세해서 좋았습니다.
6,163,4,3,5,4,True,조금 바빴지만 진료는 괜찮았습니다.
48,167,4,5,4,2,False,대기 시간이 조금 있었지만 만족합니다.
24,180,3,5,5,3,True,전반적으로 만족스러운 진료였습니다.
19,145,4,5,5,4,False,대기 시간이 조금 있었지만 만족합니다.
3,74,4,4,3,2,False,상담이 자세해서 도움이 많이 됐어요.
50,125,4,5,3,5,True,진료가 꼼꼼하고 이해하기 쉬웠어요.
40,39,5,4,4,5,False,기대 이상으로 만족했습니다.
18,154,5,3,3,4,False,전반적으로 만족스러운 진료였습니다.
15,133,4,4,5,4,False,상담이 자세해서 도움이 많이 됐어요.
43,97,5,4,3,4,True,조금 바빴지만 진료는 괜찮았습니다.
14,83,4,3,5,5,False,정말 친절하고 설명도 자세해서 좋았습니다.
4,128,5,4,3,5,False,대기 시간이 조금 있었지만 만족합니다.
40,92,4,3,3,3,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
41,195,4,3,3,3,False,다시 방문하고 싶은 병원입니다.
17,48,4,5,3,5,True,다시 방문하고 싶은 병원입니다.
46,55,3,4,4,5,False,대기 시간이 조금 있었지만 만족합니다.
30,105,3,3,3,4,True,다시 방문하고 싶은 병원입니다.
3,23,3,4,4,3,False,기대 이상으로 만족했습니다.
38,15,3,5,3,5,True,설명이 명확해서 신뢰가 갔습니다.
6,155,5,4,4,4,False,설명이 명확해서 신뢰가 갔습니다.
7,38,3,4,5,5,False,진료가 꼼꼼하고 이해하기 쉬웠어요.
43,100,4,3,5,4,False,정말 친절하고 설명도 자세해서 좋았습니다.
